Character,Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
514,Marissa Frey,None,,,,49.0,0,1,0,0,1,1,0
193,Donella Hornwood,Stark,299.0,2.0,35.0,16.0,0,1,0,1,0,0,0
321,Hake,Night's Watch,299.0,3.0,46.0,52.0,1,0,1,1,1,0,0
585,Myria Jordayne,Martell,,,,38.0,0,0,0,0,1,0,1
169,Damon Dance-for-Me,None,,,,12.0,1,0,0,0,0,0,1
602,Old Henly,Night's Watch,299.0,3.0,55.0,55.0,1,0,0,0,1,0,0
140,Cley Cerwyn,Stark,299.0,2.0,66.0,16.0,1,1,0,1,0,0,0
173,Dareon,Night's Watch,300.0,4.0,34.0,19.0,1,0,1,0,0,1,0
6,Aemon Targaryen (son of Maekar I),Night's Watch,300.0,4.0,35.0,21.0,1,1,1,0,1,1,0
589,Nan,House Stark,,,,1.0,0,0,1,1,0,0,0
388,Jaremy Rykker,Night's Watch,298.0,5.0,60.0,21.0,1,1,1,0,0,0,0
73,Becca the Baker,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
626,Pate (Lancewood),None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
814,Todric,Greyjoy,299.0,2.0,37.0,37.0,1,0,0,1,0,0,0
878,Wex Pyke,Stark,,,,24.0,1,0,0,1,0,0,1
145,Colemon,House Arryn,,,,34.0,1,0,1,0,1,1,0
234,Emrick,Night's Watch,,,,75.0,1,0,0,0,1,0,1
220,Edric Dayne,None,,,,34.0,1,1,0,0,1,0,0
835,Tytos Blackwood,Tully,,,,56.0,1,1,1,0,1,0,1
405,Jommy,House Baratheon,,,,0.0,1,0,0,1,0,0,0
132,Chayle,Stark,299.0,2.0,50.0,9.0,1,0,1,1,0,0,0
539,Melisandre,Baratheon,,,,0.0,0,0,0,1,1,0,1
606,Ondrew Locke,Stark,,,,37.0,1,1,0,0,0,0,1
185,Deziel Dalt,Martell,,,,38.0,1,1,0,0,1,0,1
41,Archibald Yronwood,Martell,,,,6.0,1,1,0,0,0,0,1
559,Mord,House Arryn,,,,38.0,1,0,1,0,0,1,0
108,Brenett,None,,,,49.0,1,0,0,0,1,0,0
796,The Red Lamb,House Targaryen,,,,67.0,1,0,0,0,0,0,1
56,Arys Oakheart,Lannister,300.0,4.0,21.0,57.0,1,1,1,1,0,1,0
643,Porridge,Baratheon,,,,25.0,1,0,0,0,1,0,0
361,Hother Umber,Stark,,,,16.0,1,1,0,1,0,0,1
578,Muttering Bill,Night's Watch,300.0,5.0,4.0,,1,0,0,0,1,0,1
24,Alyn,House Stark,298.0,3.0,34.0,12.0,1,0,1,0,0,0,0
365,Hugo Vance,Tully,,,,30.0,1,1,0,0,0,1,0
447,Kyra,House Stark,300.0,5.0,12.0,37.0,0,0,1,1,0,0,1
453,Lark,Night's Watch,299.0,3.0,46.0,23.0,1,0,0,1,1,0,0
51,Arson,Wildling,,,,26.0,1,0,0,0,1,0,0
424,Joyeuse Erenford,None,,,,28.0,0,1,1,0,1,0,0
859,Vyman,Tully,,,,55.0,1,0,0,1,1,1,0
581,Myles,House Martell,,,,2.0,1,0,0,0,0,1,1
264,Gariss,House Stark,,,,50.0,1,0,0,1,0,0,0
711,Roger Hogg,Lannister,,,,27.0,1,1,0,0,0,1,0
625,Pate (novice),None,300.0,4.0,0.0,0.0,1,0,0,0,0,1,0
844,Umfred,None,,,,68.0,1,0,0,0,1,0,0
846,Urreg,Night's Watch,299.0,2.0,19.0,14.0,1,0,0,1,0,0,0
18,Alesander Staedmon,Baratheon,,,,65.0,1,1,0,1,0,0,0
656,Qarl the Maid,Greyjoy,,,,42.0,1,0,0,1,0,1,1
799,Theomore Lannister,None,,,,19.0,1,1,0,0,0,0,1
526,Mathos Mallarawan,None,,,,40.0,1,1,0,1,0,0,0
83,Benedar Belmore,Arryn,,,,23.0,1,1,0,0,0,1,0
61,Ballabar,Lannister,,,,4.0,1,0,0,1,0,0,0
272,Gelmarr,House Greyjoy,299.0,2.0,56.0,50.0,1,0,0,1,0,0,0
285,Gladden Wylde,Stark,298.0,1.0,55.0,43.0,1,1,1,0,0,0,0
829,Tycho Nestoris,None,,,,44.0,1,0,0,0,0,0,1
482,Lucas Blackwood,Tully,299.0,3.0,51.0,22.0,1,1,0,1,1,0,0
12,Alan of Rosby,Night's Watch,300.0,5.0,4.0,18.0,1,1,0,1,1,0,1
182,Desmond,House Stark,298.0,1.0,50.0,1.0,1,0,1,0,0,0,0
596,Nute,House Greyjoy,,,,18.0,1,0,0,0,0,1,0
849,Utt,None,299.0,3.0,39.0,30.0,1,0,0,1,1,0,0
223,Eggon,None,,,,30.0,1,0,0,1,0,0,0
536,Mela,House Arryn,,,,23.0,0,0,0,0,0,1,0
682,Raymar Royce,Arryn,,,,45.0,1,1,0,0,1,0,0
408,Jon Fossoway,Baratheon,,,,22.0,1,1,0,1,0,0,0
420,Joss,None,,,,43.0,1,0,1,0,0,0,0
534,Megga Tyrell,House Tyrell,,,,6.0,0,1,0,0,1,1,0
558,Moqorro,Greyjoy,,,,33.0,1,0,0,0,0,0,1
176,Davos Seaworth,Baratheon,,,,0.0,1,1,0,1,1,0,1
687,Red Rolfe,House Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
462,Leo Tyrell,Tyrell,,,,0.0,1,1,0,0,0,1,0
433,Kenned,House Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
163,Dagon Codd,Greyjoy,300.0,5.0,20.0,20.0,1,1,0,0,0,0,1
248,Falyse Stokeworth,Lannister,300.0,5.0,36.0,2.0,0,1,0,1,0,1,0
582,Myles Manwoody,Martell,,,,38.0,1,1,0,0,1,0,0
808,Timeon,None,300.0,4.0,20.0,21.0,1,0,0,0,1,1,0
74,Bedwyck,Night's Watch,,,,13.0,1,0,0,1,1,0,1
113,Bryan Fossoway,Baratheon,299.0,2.0,62.0,42.0,1,1,1,1,0,0,0
521,Marwyn,None,,,,0.0,1,0,0,0,0,1,0
512,Marillion,Arryn,300.0,4.0,23.0,28.0,1,0,1,0,1,1,0
104,Borroq,Wildling,,,,0.0,1,0,0,0,0,0,1
114,Bryce Caron,Baratheon,299.0,2.0,65.0,29.0,1,1,1,1,0,0,0
411,Joffrey Baratheon,House Lannister,300.0,3.0,60.0,5.0,1,1,1,1,1,0,0
92,Big Boil,Wildling,,,,41.0,1,0,0,0,1,0,0
516,Mark Mullendore,Tully,,,,22.0,1,1,0,1,0,0,0
89,Bessa (Winterfell),Stark,,,,37.0,0,0,1,0,0,0,0
336,Harras Harlaw,Greyjoy,,,,11.0,1,1,0,0,0,1,0
905,Ygritte,Wildling,299.0,3.0,55.0,51.0,0,0,0,1,1,0,0
841,Ulmer,Night's Watch,,,,33.0,1,0,0,0,1,0,1
852,Vardis Egen,Arryn,298.0,1.0,40.0,34.0,1,0,1,0,0,0,0
827,Tumco Lho,Targaryen,,,,67.0,1,0,0,0,0,0,1
545,Mero,None,299.0,3.0,57.0,42.0,1,0,0,0,1,0,0
879,Whalen Frey,None,,,,59.0,1,1,1,0,1,0,0
94,Biter,None,300.0,4.0,37.0,1.0,1,0,0,1,0,1,0
11,Aggo,House Targaryen,,,,54.0,1,0,1,1,1,0,1
449,Lambert Turnberry,Lannister,,,,7.0,1,1,0,0,0,1,0
43,Areo Hotah,House Martell,,,,2.0,1,0,0,0,0,1,1
42,Ardrian Celtigar,Baratheon,,,,10.0,1,1,0,1,1,0,0
329,Hareth (Mole's Town),Night's Watch,,,,64.0,1,0,0,0,1,0,1
167,Dalla,Wildling,300.0,3.0,76.0,73.0,0,1,0,0,1,0,0
800,Theon Greyjoy,House Greyjoy,,,,1.0,1,1,1,1,0,0,1
549,Mikken,House Stark,299.0,2.0,46.0,8.0,1,0,1,1,0,0,0
692,Rhaegar Frey,None,300.0,5.0,29.0,19.0,1,1,0,0,0,0,1
100,Bonifer Hasty,Lannister,,,,65.0,1,1,0,1,0,1,0
178,Delp,House Tully,299.0,3.0,20.0,39.0,1,0,0,1,1,0,0
595,Notch,None,,,,43.0,1,0,0,0,1,0,0
890,Woth,Night's Watch,299.0,2.0,14.0,14.0,1,0,0,1,0,0,0
605,Olyvar Frey,None,,,,59.0,1,1,1,0,0,0,0
177,Del,Wildling,299.0,3.0,41.0,41.0,1,0,0,0,1,0,0
638,Philip Foote,Lannister,,,,65.0,1,1,0,1,1,0,0
620,Owen Norrey,Tully,299.0,3.0,51.0,51.0,1,1,0,0,1,0,0
728,Roslin Frey,None,,,,35.0,0,1,0,0,1,0,0
715,Rolfe,Greyjoy,,,,24.0,1,0,0,1,0,0,0
383,Jalabhar Xho,None,,,,29.0,1,1,1,1,1,1,0
257,Frenya,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
457,Left Hand Lew,Night's Watch,,,,48.0,1,0,0,0,1,0,1
335,Harrag Sharp,Greyjoy,299.0,5.0,19.0,66.0,1,1,0,1,0,1,0
693,Rhogoro,None,,,,3.0,1,1,1,0,0,0,0
15,Albett,Night's Watch,,,,26.0,1,0,1,0,0,0,0
3,Adrack Humble,House Greyjoy,300.0,5.0,20.0,20.0,1,1,0,0,0,0,1
428,Karyl Vance,Tully,,,,43.0,1,1,1,0,1,1,0
256,Frenken,Lannister,,,,15.0,1,0,0,1,1,0,0
703,Robert Arryn,House Arryn,,,,40.0,1,1,1,0,1,1,0
495,Lysa Tully,House Arryn,300.0,3.0,,34.0,0,1,1,0,1,0,0
440,Kojja Mo,None,,,,35.0,0,0,0,0,0,1,0
393,Jate Blackberry,House Baratheon,,3.0,10.0,10.0,1,0,0,0,1,0,0
222,Edwyn Frey,None,,,,38.0,1,1,0,0,1,1,0
179,Denys Drumm,Greyjoy,,,,19.0,1,1,0,0,0,1,0
485,Luco Prestayn,None,,,,22.0,1,0,0,0,0,1,0
617,Othell Yarwyck,Night's Watch,,,,48.0,1,0,1,0,1,0,1
324,Hali,Wildling,298.0,1.0,37.0,37.0,0,0,1,0,0,0,0
542,Meredyth Crane,Tyrell,,,,61.0,0,1,0,0,1,1,0
9,Aethan,Night's Watch,,,,0.0,1,0,0,0,1,0,0
249,Farlen,House Stark,299.0,2.0,56.0,46.0,1,0,0,1,0,0,0
22,Allard Seaworth,Baratheon,299.0,2.0,10.0,10.0,1,1,0,1,0,0,0
356,Horas Redwyne,Tyrell,,,,27.0,1,1,1,1,0,1,0
221,Edric Storm,House Baratheon,,,,10.0,1,0,0,0,1,0,0
613,Osmund Kettleblack,Lannister,,,,41.0,1,1,0,1,1,1,0
787,Symond Templeton,Arryn,,,,10.0,1,1,0,0,0,1,0
900,Xaro Xhoan Daxos,None,,,,12.0,1,1,0,1,0,0,1
743,Sansa Stark,Stark,,,,7.0,0,1,1,1,1,1,0
340,Harry Strickland,None,,,,24.0,1,0,0,0,0,0,1
431,Kennos of Kayce,Lannister,,,,6.0,1,1,0,0,1,1,1
807,Tim Tangletongue,Night's Watch,,,,69.0,1,0,0,0,1,0,0
530,Mawney,Night's Watch,300.0,5.0,4.0,18.0,1,0,0,0,1,0,1
203,Doreah,House Targaryen,299.0,2.0,12.0,11.0,0,0,1,1,0,0,0
237,Endrew Tarth,Night's Watch,299.0,3.0,69.0,60.0,1,0,1,0,1,0,0
93,Big Walder Frey,None,,,,,1,1,1,1,0,0,1
506,Mallor,House Lannister,,,,63.0,1,0,1,0,0,0,0
756,Sharna,None,,,,11.0,0,0,0,0,1,0,0
633,Penny,None,,,,60.0,0,0,0,0,1,0,1
284,Gilwood Hunter,Arryn,,,,80.0,1,1,0,0,1,0,0
184,Devan Seaworth,Baratheon,,,,10.0,1,1,0,1,1,0,1
737,Ryon Allyrion,Martell,,,,38.0,1,1,0,0,1,0,1
434,Kerwin,House Tyrell,300.0,5.0,56.0,29.0,1,0,0,0,0,1,1
501,Maerie (Whore),None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
153,Craster,None,299.0,3.0,33.0,23.0,1,0,0,1,1,0,0
75,Belaquo,None,,,,52.0,1,0,0,0,0,0,1
450,Lamprey,Baratheon,,,,25.0,1,0,0,0,1,0,0
673,Rakharo,House Targaryen,,,,54.0,1,0,1,1,1,0,1
587,Nage,None,,,,44.0,1,0,0,0,1,0,0
277,Gerren,None,299.0,2.0,19.0,14.0,1,0,0,1,0,0,0
68,Barth (brewer),House Stark,,,,50.0,1,0,0,1,0,0,0
446,Kyle (Banners),None,299.0,3.0,39.0,39.0,1,0,0,0,1,0,0
576,Mossador,House Targaryen,300.0,5.0,11.0,11.0,1,0,0,0,1,0,1
188,Dick Follard,Night's Watch,299.0,3.0,55.0,41.0,1,0,0,0,1,0,0
271,Gawen Westerling,Stark,,,,33.0,1,1,0,0,0,1,0
678,Randa,None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
567,Morros Slynt,Lannister,,,,2.0,1,1,0,1,1,0,0
236,Elwood,House Tully,299.0,3.0,20.0,20.0,1,0,0,0,1,0,0
88,Beric Dondarrion,None,300.0,4.0,27.0,42.0,1,1,1,0,1,0,0
777,Stonesnake,Night's Watch,,,,43.0,1,0,0,1,0,0,0
117,Brynden Rivers,House Targaryen,,,,34.0,1,1,0,0,0,0,1
125,Caleotte,House Martell,,,,2.0,1,0,0,0,0,1,1
750,Senelle,House Lannister,300.0,4.0,24.0,3.0,0,0,0,0,0,1,0
289,Godry Farring,Baratheon,,,,3.0,1,1,0,0,0,0,1
238,Enger,House Tully,,,,39.0,1,0,0,1,0,0,0
0,Addam Marbrand,Lannister,,,,56.0,1,1,1,1,1,1,0
907,Yohn Royce,Arryn,,,,29.0,1,1,1,0,0,1,0
736,Rymolf Stormdrunk,House Greyjoy,,,,24.0,1,0,0,1,0,0,0
797,Theo Frey,None,,,,29.0,1,1,1,0,0,0,0
395,Jeren,Night's Watch,,,,19.0,1,0,1,0,0,0,0
543,Meribald,None,,,,25.0,1,0,0,0,0,1,0
126,Catelyn Tully,House Stark,299.0,3.0,51.0,2.0,0,1,1,1,1,0,0
278,Gerris Drinkwater,Martell,,,,6.0,1,1,0,0,0,0,1
708,Rodrik Cassel,Stark,299.0,2.0,66.0,7.0,1,1,1,1,0,0,0
116,Bryen Farring,Baratheon,300.0,5.0,62.0,10.0,1,1,0,1,0,0,1
473,Lommy,Night's Watch,299.0,2.0,19.0,1.0,1,0,0,1,0,0,0
228,Ellaria Sand,Martell,,,,38.0,0,1,0,0,1,0,1
635,Perwyn Frey,None,,,,29.0,1,1,1,1,0,0,0
670,Rafford,None,,,,19.0,1,0,0,1,0,1,0
57,Asha Greyjoy,House Greyjoy,,,,11.0,0,1,0,1,0,1,1
527,Matrice,Baratheon,,,,0.0,0,0,0,1,0,0,0
274,Genna Lannister,Lannister,,,,33.0,0,1,0,0,0,1,0
318,Gysella Goodbrother,Greyjoy,,,,1.0,0,1,0,0,0,1,0
618,Ottyn Wythers,Night's Watch,299.0,3.0,48.0,13.0,1,0,0,1,1,0,0
144,Coldhands,None,,,,46.0,1,0,0,0,1,0,1
649,Preston Greenfield,Baratheon,299.0,2.0,41.0,43.0,1,0,1,1,0,0,0
570,Morton Waynwood,Arryn,,,,40.0,1,1,1,0,0,0,0
833,Tyrion Lannister,Lannister,,,,4.0,1,1,1,1,1,0,1
657,Qezza,None,,,,2.0,0,0,0,0,0,0,1
369,Hyle Hunt,None,300.0,4.0,42.0,14.0,1,1,0,0,0,1,0
268,Garth Greyfeather,Night's Watch,300.0,5.0,31.0,48.0,1,0,0,0,1,0,1
636,Petyr Baelish,None,,,,18.0,1,0,1,1,1,1,0
307,Grubbs,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
423,Jothos Slynt,Lannister,,,,66.0,1,1,0,0,1,0,0
310,Guncer Sunglass,Baratheon,299.0,3.0,10.0,0.0,1,1,0,1,1,0,0
354,Holly,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
46,Arnolf Karstark,Stark,,,,3.0,1,1,0,0,0,0,1
349,Hobb,Night's Watch,,,,52.0,1,0,1,0,1,0,1
371,Illyrio Mopatis,House Targaryen,,,,3.0,1,1,1,0,0,0,1
479,Lothar Frey,None,,,,35.0,1,1,0,0,1,0,0
588,Myles,House Tully,299.0,2.0,39.0,39.0,1,0,0,1,0,0,0
261,Galbart Glover,Stark,,,,55.0,1,1,1,0,1,0,0
195,Donnel Haigh,None,,,,49.0,1,1,0,0,1,0,0
916,Talbert Serry,Tyrell,300.0,4.0,29.0,29.0,1,1,0,0,0,1,0
764,Softfoot,Night's Watch,299.0,3.0,18.0,0.0,1,0,0,0,1,0,0
789,Taena of Myr,Lannister,,,,6.0,0,1,0,0,1,1,0
263,Garin (Orphan),Martell,,,,21.0,1,0,0,0,0,1,0
443,Kromm,House Greyjoy,299.0,2.0,66.0,56.0,1,0,0,1,0,0,0
730,Rudge,Night's Watch,,,,60.0,1,0,1,0,0,0,0
304,Grigg,Wildling,,,,30.0,1,0,0,0,1,0,0
341,Harwin,Stark,,,,1.0,1,0,1,0,1,1,0
884,Willem Lannister,House Lannister,299.0,3.0,20.0,19.0,1,1,0,0,1,0,0
149,Corliss Penny,Baratheon,,,,26.0,1,0,0,0,0,0,1
124,Cadwyn,House Lannister,,,,47.0,1,0,0,1,0,0,0
721,Romny Weaver,Greyjoy,,,,18.0,1,1,0,0,0,1,0
50,Arryk (Guard),House Tyrell,,,,6.0,1,0,0,0,1,1,0
353,Holger,None,,,,49.0,1,0,0,1,0,0,0
847,Urswyck,None,,,,21.0,1,0,0,0,1,0,0
142,Clydas,Night's Watch,,,,41.0,1,0,1,0,1,1,1
470,Lharys,Stark,298.0,1.0,34.0,31.0,1,1,1,0,0,0,0
399,Jhezane,None,,,,2.0,0,1,0,0,0,0,1
754,Shagga,Lannister,,,,39.0,1,0,1,1,0,0,0
320,Hairy Hal,Night's Watch,300.0,5.0,31.0,55.0,1,0,0,0,1,1,1
19,Alester Florent,Baratheon,300.0,4.0,,36.0,1,1,0,1,1,0,0
753,Shae,Lannister,300.0,3.0,77.0,62.0,0,0,1,1,1,0,0
770,Squirrel,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
741,Sandor Clegane,None,300.0,4.0,31.0,7.0,1,1,1,1,1,1,0
407,Jon Connington,Targaryen,,,,5.0,1,1,0,0,0,0,1
537,Meldred Merlyn,Greyjoy,,,,1.0,1,1,0,0,0,1,0
569,Mors Umber,Stark,,,,21.0,1,1,0,1,0,0,0
38,Antario Jast,Lannister,,,,32.0,1,1,0,1,0,0,0
175,Daven Lannister,House Lannister,,,,12.0,1,1,0,0,0,1,0
245,Esgred,Greyjoy,,,,24.0,1,0,0,1,0,0,0
760,Sigfry Stonetree,Greyjoy,,,,19.0,1,1,0,0,0,1,0
908,Yoren,Night's Watch,299.0,2.0,19.0,13.0,1,0,1,1,0,0,0
755,Shagwell,None,300.0,4.0,20.0,30.0,1,0,0,1,1,1,0
784,Symon Silver Tongue,Lannister,299.0,3.0,32.0,44.0,1,0,0,1,1,0,0
154,Cregan Karstark,Stark,,,,44.0,1,1,0,0,0,0,1
287,Goady,Night's Watch,,,,0.0,1,0,0,0,1,0,0
552,Missandei,House Targaryen,,,,23.0,0,0,0,0,1,0,1
17,Alerie Hightower,House Tyrell,,,,6.0,0,1,0,0,1,1,0
127,Cayn,House Stark,298.0,1.0,49.0,4.0,1,0,1,0,0,0,0
322,Halder,Night's Watch,,,,19.0,1,0,1,0,1,0,0
255,Fornio,Night's Watch,,,,33.0,1,0,0,0,1,0,0
604,Ollo Lophand,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
882,Will (orphan),None,,,,37.0,1,0,0,0,0,1,0
190,Dirk,Night's Watch,300.0,5.0,4.0,0.0,1,0,0,0,1,0,1
115,Bryen,None,,,,68.0,1,0,0,0,1,0,0
680,Rast,Night's Watch,299.0,3.0,26.0,55.0,1,0,1,0,1,0,0
180,Denys Mallister,Night's Watch,,,,48.0,1,1,0,0,1,0,0
301,Grenn,Night's Watch,,,,19.0,1,0,1,1,1,1,1
695,Richard Horpe,Baratheon,,,,17.0,1,1,0,0,0,0,1
653,Pylos,Baratheon,,,,0.0,1,0,0,1,1,0,0
664,Quenten Banefort,Lannister,,,,16.0,1,1,0,0,0,1,0
628,Pate (Old),None,,,34.0,13.0,1,0,0,0,1,0,0
659,Qotho,None,298.0,1.0,61.0,11.0,1,0,1,0,0,0,0
517,Marlon Manderly,Stark,,,,19.0,1,1,0,0,0,0,1
901,Xhondo,None,,,,26.0,1,0,0,0,0,1,0
45,Arneld,Lannister,,,,59.0,1,0,0,1,0,0,0
830,Tyene Sand,House Martell,,,,38.0,0,1,0,0,0,1,1
157,Cuger,Night's Watch,,,,,1,0,1,0,0,0,0
735,Ryman Frey,None,300.0,4.0,44.0,14.0,1,1,0,0,1,1,0
171,Dancy,None,,,,29.0,0,0,0,1,0,0,0
16,Alebelly,House Stark,299.0,2.0,46.0,4.0,1,0,0,1,0,0,0
511,Margaery Tyrell,House Tyrell,,,,22.0,0,1,0,1,1,1,0
48,Arron,Night's Watch,,,,75.0,1,0,0,0,1,0,1
888,Willow Witch-eye,Wildling,300.0,5.0,69.0,37.0,0,0,0,0,0,0,1
894,Wyl the Whittler,None,299.0,3.0,34.0,34.0,1,0,0,0,1,0,0
515,Mariya Darry,None,,,,30.0,0,1,0,0,0,1,0
629,Patrek of King's Mountain,Baratheon,300.0,5.0,69.0,44.0,1,1,0,0,0,0,1
480,Lothor Brune,None,,,,29.0,1,1,1,1,1,1,0
283,Gilly,Wildling,,,,23.0,0,0,0,1,1,1,1
601,Ogo,None,298.0,1.0,61.0,46.0,1,1,1,0,0,0,0
225,Eldred Codd,Greyjoy,,,,18.0,1,1,0,0,0,1,0
26,Alyn Estermont,Baratheon,,,,,1,1,0,1,1,0,0
717,Rolfe the Dwarf,House Greyjoy,300.0,5.0,26.0,26.0,1,0,0,0,0,0,1
437,Khorane Sathmantes,None,,,,10.0,1,0,0,0,1,0,0
869,Watty,None,,,,39.0,1,0,0,0,1,0,0
364,Hugh,House Arryn,298.0,1.0,29.0,25.0,1,0,1,0,0,0,0
229,Elmar Frey,None,,,,59.0,1,1,1,1,1,0,0
37,Anguy,None,,,,30.0,1,0,1,0,1,0,0
883,Willam Wells,Martell,300.0,5.0,6.0,6.0,1,0,0,0,0,0,1
